"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,15,85,3,29,19,16,65,39,179,21,0
10,10,70,12,41,20,14,52,38,157,20,0
20,17,18,17,27,6,6,140,21,89,4,0
30,16,11,17,30,70,11,97,60,144,10,0
40,18,26,15,31,40,3,103,56,170,14,0
50,16,16,22,28,145,11,89,66,187,13,1
60,12,17,20,37,13,9,115,34,150,14,0
70,13,23,21,31,19,7,96,46,170,5,0
80,13,17,16,31,10,7,63,47,165,15,0
90,19,32,12,32,15,16,66,49,168,9,0
100,12,21,17,32,32,10,52,69,190,10,0
110,11,32,20,16,42,3,94,105,177,4,0
